CustomerID,first_buy,last_buy,F_freq,M_money
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.0600000000002
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62
12379.0,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24
12380.0,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9
12388.0,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.6600000000003
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89
12393.0,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6000000000001
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48
12395.0,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.66
12399.0,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39
12406.0,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12
12408.0,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55
12409.0,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67
12410.0,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33
12412.0,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88
12413.0,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1
12414.0,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.41
12415.0,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53
12417.0,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1
12418.0,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58
12420.0,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39
12421.0,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04
12422.0,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.5600000000001
12423.0,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31
12424.0,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96
12425.0,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2
12426.0,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73
12427.0,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8
12428.0,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46
12429.0,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4
12430.0,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4
12431.0,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6487.45
12432.0,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32
12433.0,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87
12434.0,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14
12435.0,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89
12436.0,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01000000000005
12437.0,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41
12438.0,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85
12441.0,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55
12442.0,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06
12444.0,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46
12445.0,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4
12446.0,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001
12447.0,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49
12448.0,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45
12449.0,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29
12450.0,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88
12451.0,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52
12452.0,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57
12453.0,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09
12454.0,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34
12455.0,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86
12456.0,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04
12457.0,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23
12458.0,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4
12461.0,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88
